2453311.92771276	-316573055.165363	2467877.99988889	39934474.8410891
2453321.50770389	-319659101.959169	-14812804.4234804	39862565.4710491
2453331.08769501	-321881535.918791	-32098164.1734996	39688503.2027608
2453340.66768614	-323258636.302241	-49299463.9143865	39410203.7470215
2453350.24767726	-323813231.061562	-66375553.0513033	39031622.2111452
2453359.82766838	-323569462.133579	-83288212.0021658	38556802.1944836
2453369.40765951	-322552501.334485	-100002058.765962	37989842.4650277
2453378.98765063	-320788297.73816	-116484438.139249	37334868.0580188
2453388.56764176	-318303355.151178	-132705298.538713	36596005.4900661
2453398.14763288	-315124537.892033	-148637060.65073	35777361.7520278
2453407.727624	-311278902.826595	-164254481.432208	34883006.7301821
2453417.30761513	-306793555.476768	-179534516.351663	33916958.7049203
2453426.88760625	-301695527.977974	-194456182.193382	32883172.5858679
2453436.46759737	-296011676.690238	-209000422.252472	31785530.5590067
2453446.0475885	-289768597.347571	-223149975.32298	30627834.8426214
2453455.62757962	-282992555.745212	-236889249.520775	29413802.2728172
2453465.20757075	-275709432.101023	-250204201.682046	28147060.4644706
2453474.78756187	-267944677.376185	-263082222.830687	26831145.3187276
2453484.36755299	-259723279.993581	-275512030.007029	25469499.6727279
2453493.94754412	-251069741.54439	-287483564.59001	24065472.9106149
2453503.52753524	-242008060.220493	-298987897.118938	22622321.3766974
2453513.10752637	-232561720.849593	-310017138.524085	21143209.451738
2453522.68751749	-222753690.539962	-320564357.602572	19631211.1715958
2453532.26750861	-212606419.061388	-330623504.523103	18089312.2839331
2453541.84749974	-202141843.197991	-340189340.106331	16520412.6533516
2453551.42749086	-191381394.407149	-349257370.603951	14927328.9383475
2453561.00748198	-180346009.207055	-357823787.686249	13312797.4749082
2453570.58747311	-169056141.793809	-365885413.342778	11679477.3113545
2453580.16746423	-157531778.242334	-373439649.516753	10029953.1729479
