2452773	3222.33858704567	-92386550.9535188	-119635936.132965	696.488934332998
2452775	84515.6624436378	-86107942.3563025	-124356752.813055	-175561.617107973
2452778	79408.98630023	-79608246.1865282	-128774984.471573	-355849.147247494
2452781	74302.3101568222	-72903805.307197	-132880178.543993	-539680.728642951
2452784	69195.6340134144	-66011515.4406299	-136662920.9179	-726555.953844203
2452787	64088.9578700066	-58948746.1767882	-140114871.634308	-915962.511568632
2452790	58982.2817265987	-51733258.9271359	-143228793.748952	-1107378.52556204
2452793	53875.6055831909	-44383122.7250716	-145998574.440829	-1300274.89857207
2452796	48768.9294397831	-36916628.7634857	-148419238.191598	-1494117.6412644
2452799	43662.2533366084	-29352204.5715605	-150486951.981658	-1688370.16390909
2452802	38555.5771932006	-21708328.7265078	-152199022.568249	-1882495.51049314
2452805	33448.9010497928	-14003446.9709599	-153553886.027291	-2075958.51552636
2452808	28342.2249063849	-6255890.56621642	-154551089.851728	-2268227.86794147
2452811	23235.5487629771	1516202.34685726	-155191268.000067	-2458778.06539551
2452814	18128.8726195693	9294961.67735063	-155476109.376851	-2647091.2461774
2452817	13022.1964761615	17062855.9831708	-155408320.305492	-2832658.88924619
2452820	7915.52033275366	24802758.2086037	-154991581.614028	-3014983.37379391
2452823	2808.84418934584	32498006.1249192	-154230501.001105	-3193579.3930445
2452825	84102.1680861712	40132457.1363287	-153130561.380333	-3367975.21990597
2452828	78995.4919427633	47690537.2121686	-151698065.916829	-3537713.82383094
2452831	73888.8157993555	55157283.8023336	-149940080.470204	-3702353.83950078
2452834	68782.1396559477	62518382.6839024	-147864374.146234	-3861470.3929248
2452837	63675.4635125399	69760198.7735362	-145479358.636922	-4014655.78999256
2452840	58568.787369132	76869801.0169936	-142794026.98988	-4161520.07266404
2452843	53462.1112257242	83834981.5367008	-139817892.408765	-4301691.45104721
2452846	48355.4350823164	90644269.2772932	-136560927.635588	-4434816.62191018
2452849	43248.7589791417	97286938.4394546	-133033505.411007	-4560560.98054129
2452852	38142.0828357339	103753012.031656	-129246340.45143	-4678608.73700675
2452855	33035.4066923261	110033260.898496	-125210433.320232	-4788662.94414462
2452858	27928.7305489182	116119198.607103	-120937016.515602	-4890445.44948864
2452861	22822.0544055104	122003072.58443	-116437503.0369	-4983696.77759926
2452864	17715.3782621026	127677851.902877	-111723437.636306	-5068175.95165423
2452867	12608.7021186948	133137212.109505	-106806450.910443	-5143660.26230779
2452870	7502.02597528696	138375517.48687	-101698216.338935	-5209944.99105872
2452873	2395.34983187914	143387801.11914	-96410410.3311375	-5266843.09448545
2452875	83688.6737287045	148169743.121777	-90954675.3044529	-5314184.85438869
2452878	78581.9975852966	152717647.372197	-85342585.7816107	-5351817.50033071
2452881	73475.3214418888	157028417.055465	-79585617.4635669	-5379604.80712342
2452884	68368.645298481	161099529.318036	-73695119.2110849	-5397426.67236154
2452887	63261.9691550732	164929009.295774	-67682287.8448398	-5405178.67794291
2452890	58155.2930116653	168515403.757172	-61558145.6569541	-5402771.6364653
2452893	53048.6168682575	171857754.579839	-55333520.5141565	-5390131.12660189
2452896	47941.9407248497	174955572.251691	-49019028.4211981	-5367197.01981158
2452899	42835.2645814419	177808809.567219	-42625058.4077473	-5333922.99960373
2452902	37728.5884782672	180417835.665889	-36161759.5968351	-5290276.07470897
2452905	32621.9123348594	182783410.538768	-29639030.3101319	-5236236.0895347
2452908	27515.2361914515	184906660.110862	-23066509.0664452	-5171795.23243082
2452911	22408.5600480437	186789051.988343	-16453567.3307191	-5096957.54361752
2452914	17301.8839046359	188432371.942182	-9809303.87381357	-5011738.42341369
2452917	12195.2077612281	189838701.187323	-3142540.60787163	-4916164.14336151
2452920	7088.53161782026	191010394.500837	3538180.23223735	-4810271.36130849
2452923	1981.85547441244	191950059.215668	10224597.6853271	-4694106.64344256
